,Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume
46,2019-07-08,15.416,15.483333,15.244,15.356,15.356,88207500,,,15.54,-0.18399999999999928,-0.011840411840411846,105985500.0,-17778000.0,-0.16773992668808468
47,2019-07-09,15.264667,15.4,15.152,15.337333,15.337333,92862000,,,15.356,-0.018667000000000655,-0.0012156160458453025,88207500.0,4654500.0,0.05276762180086725
48,2019-07-10,15.61,15.929333,15.542667,15.928,15.928,137185500,,,15.337333,0.5906670000000016,0.03851171517238372,92862000.0,44323500.0,0.4773050332751825
49,2019-07-11,15.876,16.1,15.72,15.906667,15.906667,112716000,14.6209467,,15.928,-0.02133300000000027,-0.0013393395278754605,137185500.0,-24469500.0,-0.17836797620739797
50,2019-07-12,15.983333,16.358667,15.980667,16.338667,16.338667,138007500,14.635706699999998,,15.906667,0.4320000000000004,0.027158423571701062,112716000.0,25291500.0,0.22438251889705096
51,2019-07-15,16.533333,16.961332,16.323999,16.9,16.9,165001500,14.648240040000001,,16.338667,0.5613329999999976,0.034356107508647815,138007500.0,26994000.0,0.19559806532253687
52,2019-07-16,16.620001,16.902,16.528667,16.825333,16.825333,122235000,14.644706680000002,,16.9,-0.07466699999999804,-0.004418165680473263,165001500.0,-42766500.0,-0.2591885528313379
53,2019-07-17,17.044666,17.220667,16.889999,16.990667,16.990667,146470500,14.644066679999998,,16.825333,0.16533399999999787,0.009826491992758646,122235000.0,24235500.0,0.19826972634679096
54,2019-07-18,17.003332,17.049999,16.792667,16.902666,16.902666,71379000,14.652706660000002,,16.990667,-0.08800099999999844,-0.005179372887479827,146470500.0,-75091500.0,-0.5126732004055424
55,2019-07-19,17.046,17.330667,16.974667,17.212,17.212,105726000,14.67049334,,16.902666,0.3093339999999998,0.018300899988203057,71379000.0,34347000.0,0.4811919472113646
56,2019-07-22,17.25,17.476667,16.945999,17.045334,17.045334,102636000,14.688760020000002,,17.212,-0.16666599999999931,-0.009683128050197443,105726000.0,-3090000.0,-0.02922649111855169
57,2019-07-23,17.114,17.365334,16.966667,17.344667,17.344667,75346500,14.71629336,,17.045334,0.29933300000000074,0.017560993524679658,102636000.0,-27289500.0,-0.26588623874663864
58,2019-07-24,17.278,17.738001,17.210667,17.658667,17.658667,166092000,14.7667867,,17.344667,0.31400000000000006,0.018103547332445125,75346500.0,90745500.0,1.2043757838784814
59,2019-07-25,15.566667,15.633333,15.036667,15.254667,15.254667,336274500,14.76213338,,17.658667,-2.4040000000000017,-0.13613711612546986,166092000.0,170182500.0,1.024627917058016
60,2019-07-26,15.128,15.350667,14.816667,15.202667,15.202667,150415500,14.75692006,,15.254667,-0.0519999999999996,-0.0034087928631939546,336274500.0,-185859000.0,-0.5527002493498615
61,2019-07-29,15.139333,15.729333,15.068667,15.718,15.718,139099500,14.76684006,,15.202667,0.515333,0.03389753916204308,150415500.0,-11316000.0,-0.07523160844460841
62,2019-07-30,15.526667,16.224001,15.478667,16.150667,16.150667,121635000,14.808480059999999,,15.718,0.4326669999999986,0.02752684819951634,139099500.0,-17464500.0,-0.12555400989938859
63,2019-07-31,16.200001,16.445333,15.776667,16.107332,16.107332,137673000,14.85681336,,16.150667,-0.04333499999999901,-0.0026831709179564456,121635000.0,16038000.0,0.1318534961154274
64,2019-08-01,16.176666,16.300667,15.451333,15.59,15.59,123892500,14.895173360000001,,16.107332,-0.5173319999999997,-0.0321177957963491,137673000.0,-13780500.0,-0.10009587936632458
65,2019-08-02,15.423333,15.751333,15.282,15.622667,15.622667,92047500,14.95065336,,15.59,0.032667,0.0020953816549069693,123892500.0,-31845000.0,-0.25703735092923297
66,2019-08-05,15.306667,15.424667,15.052,15.221333,15.221333,105424500,14.994426679999998,,15.622667,-0.4013340000000003,-0.02568921170757854,92047500.0,13377000.0,0.14532714087835075
67,2019-08-06,15.458667,15.5,15.05,15.383333,15.383333,83463000,15.04792,,15.221333,0.1620000000000008,0.010642957486049376,105424500.0,-21961500.0,-0.208314955252337
68,2019-08-07,15.1,15.571333,15.053333,15.561333,15.561333,71647500,15.107546659999999,,15.383333,0.17799999999999905,0.01157096449774575,83463000.0,-11815500.0,-0.1415657237338701
69,2019-08-08,15.63,15.986667,15.51,15.886667,15.886667,79114500,15.17213334,,15.561333,0.3253339999999998,0.020906563724328642,71647500.0,7467000.0,0.10421857008269653
70,2019-08-09,15.736667,15.930667,15.587333,15.667333,15.667333,58473000,15.23452,,15.886667,-0.21933399999999992,-0.013806168405241959,79114500.0,-20641500.0,-0.26090666059951084
71,2019-08-12,15.532667,15.718,15.25,15.267333,15.267333,69958500,15.292986660000002,,15.667333,-0.3999999999999986,-0.025530829018569956,58473000.0,11485500.0,0.19642399055974558
72,2019-08-13,15.254,15.733333,15.17,15.666667,15.666667,72721500,15.36769334,,15.267333,0.39933399999999963,0.02615610729129969,69958500.0,2763000.0,0.03949484337142728
73,2019-08-14,15.414,15.433333,14.446,14.641333,14.641333,143439000,15.40238666,,15.666667,-1.0253340000000009,-0.06544684967134373,72721500.0,70717500.0,0.972442812648254
74,2019-08-15,14.724,14.770667,14.103333,14.376,14.376,122394000,15.427786659999999,,14.641333,-0.26533300000000004,-0.01812218873786975,143439000.0,-21045000.0,-0.1467174199485496
75,2019-08-16,14.444,14.816,14.401333,14.662667,14.662667,76477500,15.44644,,14.376,0.28666700000000134,0.019940664997217583,122394000.0,-45916500.0,-0.375153193784009
76,2019-08-19,14.947333,15.188667,14.78,15.122,15.122,79644000,15.47621334,,14.662667,0.4593329999999991,0.03132670202494525,76477500.0,3166500.0,0.04140433460821802
77,2019-08-20,15.174667,15.272667,14.969333,15.057333,15.057333,61878000,15.49352,,15.122,-0.06466700000000003,-0.004276352334347311,79644000.0,-17766000.0,-0.22306765104715987
78,2019-08-21,14.800667,14.881333,14.506667,14.722,14.722,116914500,15.49849334,,15.057333,-0.3353330000000003,-0.02227041136700636,61878000.0,55036500.0,0.8894356637253951
79,2019-08-22,14.853333,15.026667,14.548,14.81,14.81,98385000,15.51568,,14.722,0.08800000000000097,0.005977448716207201,116914500.0,-18529500.0,-0.15848761274264522
80,2019-08-23,14.664667,14.744667,14.066667,14.093333,14.093333,128079000,15.512333319999998,,14.81,-0.716667000000001,-0.04839074949358546,98385000.0,29694000.0,0.3018143009605123
81,2019-08-26,14.24,14.334667,14.102667,14.333333,14.333333,75778500,15.51243998,,14.093333,0.2400000000000002,0.01702932869038154,128079000.0,-52300500.0,-0.4083456304312182
82,2019-08-27,14.382667,14.586667,14.135333,14.272,14.272,81243000,15.497839980000002,,14.333333,-0.061332999999999416,-0.004279046611140536,75778500.0,5464500.0,0.07211148280844837
83,2019-08-28,14.246,14.483333,14.154,14.372667,14.372667,48382500,15.48563998,,14.272,0.10066699999999962,0.007053461322869881,81243000.0,-32860500.0,-0.40447176987555855
84,2019-08-29,14.6,14.893333,14.533333,14.780667,14.780667,77692500,15.479346660000001,,14.372667,0.4079999999999995,0.028387215817356592,48382500.0,29310000.0,0.605797550767323
85,2019-08-30,15.276667,15.496,14.947333,15.040667,15.040667,139809000,15.48733334,,14.780667,0.2599999999999998,0.01759054581231001,77692500.0,62116500.0,0.7995173279274062
86,2019-09-03,14.938667,15.263333,14.877333,15.000667,15.000667,80311500,15.49153334,,15.040667,-0.03999999999999915,-0.00265945652543198,139809000.0,-59497500.0,-0.4255627320129606
87,2019-09-04,15.126,15.230667,14.614,14.712,14.712,86415000,15.48758668,,15.000667,-0.28866700000000023,-0.019243610967432323,80311500.0,6103500.0,0.07599783343605826
88,2019-09-05,14.833333,15.32,14.723333,15.305333,15.305333,110929500,15.50068,,14.712,0.5933329999999994,0.0403298667754215,86415000.0,24514500.0,0.2836833883006422
89,2019-09-06,15.146667,15.309333,15.011333,15.163333,15.163333,62841000,15.51158666,,15.305333,-0.14199999999999946,-0.009277811858128149,110929500.0,-48088500.0,-0.4335050640271524
90,2019-09-09,15.333333,15.584,15.282,15.452667,15.452667,72040500,15.523520000000001,,15.163333,0.2893340000000002,0.019081161114116618,62841000.0,9199500.0,0.1463932782737385
91,2019-09-10,15.386667,15.702667,15.262667,15.702667,15.702667,73255500,15.539626680000001,,15.452667,0.25,0.0161784370296727,72040500.0,1215000.0,0.01686551314885376
92,2019-09-11,15.825333,16.544666,15.733333,16.473333,16.473333,150642000,15.566199999999998,,15.702667,0.7706660000000003,0.049078669247714535,73255500.0,77386500.0,1.0563916702500156
93,2019-09-12,16.513332,16.9,16.293333,16.391333,16.391333,128718000,15.59462666,,16.473333,-0.08200000000000074,-0.004977741905660582,150642000.0,-21924000.0,-0.14553710120683472
94,2019-09-13,16.464001,16.563334,16.324667,16.346666,16.346666,79696500,15.60835998,,16.391333,-0.044667000000000456,-0.0027250376769235585,128718000.0,-49021500.0,-0.38084417097841794
95,2019-09-16,16.4,16.495333,16.077999,16.187332,16.187332,70921500,15.62130662,,16.346666,-0.15933399999999764,-0.009747186368155858,79696500.0,-8775000.0,-0.11010521164668463
96,2019-09-17,16.164667,16.373333,16.024668,16.319332,16.319332,57981000,15.640573260000002,,16.187332,0.1319999999999979,0.008154524785183748,70921500.0,-12940500.0,-0.1824622998667541
97,2019-09-18,16.333332,16.544666,16.158001,16.232668,16.232668,62553000,15.65847996,,16.319332,-0.08666399999999896,-0.005310511484170943,57981000.0,4572000.0,0.07885341749883579
98,2019-09-19,16.4,16.529333,16.322666,16.440001,16.440001,71937000,15.66871998,,16.232668,0.20733299999999844,0.012772576880152986,62553000.0,9384000.0,0.15001678576567068
99,2019-09-20,16.432667,16.463333,15.877333,16.041332,16.041332,95295000,15.671413280000001,,16.440001,-0.39866899999999816,-0.024249937697692237,71937000.0,23358000.0,0.32470077984903467
100,2019-09-23,16.0,16.345333,15.948,16.082001,16.082001,65103000,15.666279960000002,,16.041332,0.040669000000001176,0.0025352632811290743,95295000.0,-30192000.0,-0.3168266960491106
101,2019-09-24,16.101334,16.132668,14.840667,14.880667,14.880667,193372500,15.625893299999998,,16.082001,-1.201334000000001,-0.07470053011438071,65103000.0,128269500.0,1.9702548269664995
